0,355,205.0000772251617,100.0,50.0,355.0000772251617,0.0
1,480,330.00008308410486,100.0,50.0,480.00008308410486,0.0
2,650,500.0000828736118,100.0,50.0,650.0000828736117,0.0
3,758,600.0,107.99991676216523,50.0,757.9999167621652,0.0
4,791,600.0,140.9999226257018,50.0,790.9999226257019,0.0
5,885,600.0,212.08574858831034,72.91418096707926,884.9999295553896,0.0
6,899,600.0,222.06799831081284,76.93193293007819,898.9999312408911,0.0
7,1005,600.0,297.64787610536104,107.35204971875528,1004.9999258241164,0.0
8,955,555.0,217.64787610536104,92.35195855718989,864.9998346625509,90.0
9,814,510.0,137.64787610536104,77.35186630614375,724.9997424115048,89.0
10,920,600.0,217.64787610536104,102.35202980553221,919.9999059108933,0.0
11,1187,600.0,297.64787610536104,147.3519314015656,1044.9998075069266,142.0
12,1037,555.0,217.64787610536104,132.3518374724919,904.999713577853,132.0
13,1195,600.0,297.64787610536104,177.35173942999825,1074.9996155353592,120.0
14,1148,600.0,377.64787610536104,170.35202781536938,1147.9999039207305,0.0
15,1051,555.0,297.64787610536104,155.35192952802058,1007.9998056333817,43.0
16,933,510.0,217.64787610536104,140.35183925258508,867.9997153579461,65.0
17,761,465.0,137.64787610536104,125.35174355183386,727.9996196571949,33.0
18,703,420.0,100.0,110.35164683905715,630.3516468390571,73.0
19,645,495.0000779186582,100.0,50.0,645.0000779186582,0.0
20,390,240.00005303149877,100.0,50.0,390.00005303149874,0.0
21,322,172.0000631303639,100.0,50.0,322.0000631303639,0.0
22,379,229.0000962291123,100.0,50.0,379.0000962291123,0.0,Load,G1,G2,G3,Total,Corte
23,394,244.00007925450097,100.0,50.0,394.000079254501,0.0
